ABA001,  546.51,-2554.90,  6.20, -124.53,  0.0,  0.0,ABA,CYPRE
ABA002,  558.59,-2563.94,  6.50, -129.70,  0.9, -0.1,ABA,CYPRE
ABA003,  570.15,-2573.79,  6.38, -129.03, -1.0,  0.2,ABA,CYPRE
ABA004,  581.71,-2583.44,  5.99, -132.39,  0.0,  0.3,ABA,CYPRE
ABA005,  591.88,-2594.64,  6.06, -144.21,  0.1, -0.8,ABA,CYPRE
ABA006,  599.60,-2607.67,  6.06, -152.52,  0.2, -0.3,ABA,CYPRE
ABA007,  606.67,-2621.08,  6.05, -152.23,  0.1,  0.0,ABA,CYPRE
ABA008,  613.42,-2634.69,  6.05, -154.68,  0.1, -0.1,ABA,CYPRE
ABA009,  619.80,-2648.35,  6.05, -155.03,  0.1,  0.1,ABA,CYPRE
ABA010,  626.23,-2662.17,  6.05, -155.05,  0.1,  0.0,ABA,CYPRE
ABA011,  632.64,-2675.92,  6.05, -154.97,  0.2,  0.0,ABA,CYPRE
ABA012,  639.09,-2689.72,  6.05, -154.99,  0.1,  0.0,ABA,CYPRE
ABA013,  645.00,-2703.72,  6.08, -157.86,  0.3,  0.0,ABA,CYPRE
ABA014,  650.86,-2717.53,  6.09, -157.67,  0.1, -0.1,ABA,CYPRE
ABA015,  655.78,-2731.88,  6.09, -162.36,  0.1,  0.0,ABA,ELYSIAN
ABA016,  660.08,-2746.48,  6.16, -165.21,  0.2,  0.3,ABA,ELYSIAN
ABA017,  663.66,-2761.13,  6.22, -165.78, -0.9,  0.3,ABA,ELYSIAN
ABA018,  667.14,-2775.85,  6.09, -172.44, -0.5, -1.1,ABA,ELYSIAN
ABA019,  668.10,-2791.04,  6.05, -178.43, -0.3, -0.4,ABA,ELYSIAN
ABA020,  668.23,-2806.17,  6.06,  179.65,  0.9, -0.6,ABA,ELYSIAN
ABA021,  668.19,-2821.27,  6.14,  179.87,  0.7, -0.3,ABA,ELYSIAN
ABA022,  668.14,-2836.35,  6.13,  179.99, -0.4,  0.1,ABA,ELYSIAN
ABA023,  668.18,-2851.44,  6.14,  179.70,  0.1,  0.3,ABA,ELYSIAN
ABA024,  668.15,-2866.53,  6.14,  179.98,  0.3,  0.1,ABA,ELYSIAN
ABA025,  668.15,-2881.58,  6.17, -179.98,  0.1,  0.1,ABA,ELYSIAN
ABA026,  668.13,-2896.63,  6.16,  179.72,  0.2,  0.1,ABA,ELYSIAN
ABA027,  668.02,-2911.68,  6.15,  179.55,  0.1,  0.0,ABA,ELYSIAN
ABA028,  667.81,-2926.71,  6.12,  177.58, -1.1, -0.7,ABA,ELYSIAN
ABA029,  665.03,-2941.53,  6.01,  161.91,  0.0, -0.8,ABA,ELYSIAN
ABA030,  659.92,-2955.68,  6.00,  159.56,  0.1, -0.1,ABA,ELYSIAN
ABA031,  655.21,-2970.12,  6.00,  165.79,  0.2,  0.4,ABA,ELYSIAN
ABA032,  651.16,-2984.68,  6.00,  160.81, -0.1, -0.5,ABA,ELYSIAN
ABA033,  642.47,-2997.10,  6.01,  135.85,  0.2, -0.7,ABA,ELYSIAN
ABA034,  630.97,-3006.99,  6.00,  124.03,  0.1, -0.8,ABA,ELYSIAN
ABA035,  617.29,-3013.20,  6.00,  103.10, -0.1, -1.5,ABA,ELYSIAN
ABA036,  602.21,-3014.38,  6.00,   89.44,  0.1, -0.4,ABA,ELYSIAN
ABA037,  587.19,-3014.19,  6.00,   89.60,  0.2,  0.1,ABA,ELYSIAN
ABA038,  572.15,-3014.17,  6.00,   90.00,  0.2,  0.0,ABA,ELYSIAN
ABA039,  557.15,-3014.18,  6.00,   90.19,  0.1,  0.1,ABA,ELYSIAN
ABA040,  542.09,-3014.26,  6.00,   90.35,  0.1,  0.0,ABA,ELYSIAN
ABA041,  527.03,-3014.36,  6.00,   90.40,  0.1, -0.1,ABA,ELYSIAN
ABA042,  511.80,-3014.43,  6.00,   90.08,  0.1,  0.0,ABA,ELYSIAN
ABA043,  496.57,-3014.43,  6.00,   90.02,  0.1,  0.0,ABA,ELYSIAN
ABA044,  481.36,-3014.43,  6.00,   90.03, -0.3,  0.0,ABA,ELYSIAN
ABA045,  466.26,-3013.94,  6.01,   80.05, -0.2, -1.5,ABA,ELYSIAN
ABA046,  458.18,-3001.16,  6.01,   11.65,  0.5, -0.4,ABA,ELYSIAN
ABA047,  456.45,-2986.11,  6.00,   -0.83,  0.2, -0.4,ABA,ELYSIAN
ABA048,  456.75,-2970.99,  6.01,   -0.93, -0.2,  0.0,ABA,ELYSIAN
ABA049,  458.66,-2956.07,  6.02,  -26.48, -0.1, -1.3,ABA,ELYSIAN
ABA050,  472.55,-2950.30,  6.01,  -85.18,  0.3, -0.3,ABA,ELYSIAN
ABA051,  487.53,-2949.28,  6.00,  -86.22, -0.4,  0.0,ABA,ELYSIAN
ABA052,  502.58,-2949.65,  6.00,  -91.94,  0.6,  0.0,ABA,ELYSIAN
ABA053,  517.59,-2949.85,  6.00,  -90.05,  0.3,  0.1,ABA,ELYSIAN
ABA054,  532.81,-2949.83,  6.00,  -89.94,  0.2,  0.0,ABA,ELYSIAN
